fid,Src,Dest,Heading,Parent_Layer,Steps,Sheltered,Distance,Time_Cost,geometry_type,coordinates
15,AS1-Level3-FemaleToilet2-Entrance,AS1-Level3-FemaleToilet2,E,AS1_L3_ROOMS,0,T,5,4,LineString,"[[11551882.8256456, 144185.72113377336], [11551887.512550388, 144188.08978458116]]"
15,AS1-Level3-FemaleToilet2,AS1-Level3-FemaleToilet2-Entrance,W,AS1_L3_ROOMS,0,T,5,4,LineString,"[[11551887.512550388, 144188.08978458116], [11551882.8256456, 144185.72113377336]]"
16,LT9-Entrance,LT9,W,AS1_L3_ROOMS,0,T,14,10,LineString,"[[11551887.71413769, 144172.1643876609], [11551874.913343964, 144166.01597492583]]"
16,LT9,LT9-Entrance,E,AS1_L3_ROOMS,0,T,14,10,LineString,"[[11551874.913343964, 144166.01597492583], [11551887.71413769, 144172.1643876609]]"
1,AS1-Level2-Stair4,AS1-Level3-Stair4,U,AS1_L2_ROOMS,24,T,11,25,LineString,"[[11551859.092600573, 144181.55163866564], [11551869.375774113, 144186.09379407682]]"
2,AS1-Level3-Stair4,AS1-Level2-Stair4,D,AS1_L3_ROOMS,24,T,11,25,LineString,"[[11551869.375774113, 144186.09379407682], [11551859.092600573, 144181.55163866564]]"
3,AS1-Level3-Stair1,AS1-Level2-Stair1,D,AS1_L3_ROOMS,24,T,11,25,LineString,"[[11551904.255351057, 144234.17781957542], [11551908.740616597, 144232.6103046287], [11551908.197418349, 144231.12038943183], [11551903.51039346, 144232.79654402833]]"
4,AS1-Level2-Stair1,AS1-Level3-Stair1,U,AS1_L2_ROOMS,24,T,11,25,LineString,"[[11551903.51039346, 144232.79654402833], [11551908.197418349, 144231.12038943183], [11551908.740616597, 144232.6103046287], [11551904.255351057, 144234.17781957542]]"
5,AS1-Level2-Stair3,AS1-Level1-Stair3,D,,24,T,19,31,LineString,"[[11551845.762134328, 144175.00028389806], [11551828.423007002, 144167.0008864775]]"
6,AS1-Level1-Stair3,AS1-Level2-Stair3,U,,24,T,19,31,LineString,"[[11551828.423007002, 144167.0008864775], [11551845.762134328, 144175.00028389806]]"
1,AS2-0203-Entrance,AS2-0202B-Entrance,E,AS2_L2_ROOMS,0,T,13,10,LineString,"[[11551733.852294194, 144194.67367253016], [11551746.118377527, 144190.5514641968]]"
1,AS2-0202B-Entrance,AS2-0203-Entrance,W,AS2_L2_ROOMS,0,T,13,10,LineString,"[[11551746.118377527, 144190.5514641968], [11551733.852294194, 144194.67367253016]]"
2,AS2-0203,AS2-0203-Entrance,E,AS2_L2_ROOMS,0,T,8,6,LineString,"[[11551733.852294194, 144194.67367253016], [11551726.41221086, 144197.28775586354]]"
2,AS2-0203-Entrance,AS2-0203,W,AS2_L2_ROOMS,0,T,8,6,LineString,"[[11551726.41221086, 144197.28775586354], [11551733.852294194, 144194.67367253016]]"
3,AS2-0204,AS2-0203,E,AS2_L2_ROOMS,0,T,9,7,LineString,"[[11551717.765627528, 144200.30400586358], [11551726.41221086, 144197.28775586354]]"
3,AS2-0203,AS2-0204,W,AS2_L2_ROOMS,0,T,9,7,LineString,"[[11551726.41221086, 144197.28775586354], [11551717.765627528, 144200.30400586358]]"
4,AS2-0202B-Entrance,AS2-Level2-Stair1-Entrance,E,AS2_L2_ROOMS,0,T,17,13,LineString,"[[11551746.118377527, 144190.5514641968], [11551762.238640903, 144184.66910003676]]"
4,AS2-Level2-Stair1-Entrance,AS2-0202B-Entrance,W,AS2_L2_ROOMS,0,T,17,13,LineString,"[[11551762.238640903, 144184.66910003676], [11551746.118377527, 144190.5514641968]]"
5,AS2-Level2-Stair1-Entrance,AS2-0201-Entrance,E,AS2_L2_ROOMS,0,T,13,10,LineString,"[[11551762.238640903, 144184.66910003676], [11551774.67221086, 144180.2459433634]]"
5,AS2-0201-Entrance,AS2-Level2-Stair1-Entrance,W,AS2_L2_ROOMS,0,T,13,10,LineString,"[[11551774.67221086, 144180.2459433634], [11551762.238640903, 144184.66910003676]]"
